"","Term","Ont","N","DE","P.DE","FDR"
"GO:0006928","movement of cell or subcellular component","BP",1672,516,1.59345201853745e-09,3.34146888287303e-05
"GO:0016477","cell migration","BP",1142,367,1.28090251205799e-08,9.48372833535303e-05
"GO:0048583","regulation of response to stimulus","BP",3285,854,1.35675655727511e-08,9.48372833535303e-05
"GO:0005515","protein binding","MF",8314,1875,2.30280353146269e-08,0.000120724475136932
"GO:0007155","cell adhesion","BP",1605,481,4.4624424676953e-08,0.000125374764134409
"GO:0048870","cell motility","BP",1254,391,4.77448294599552e-08,0.000125374764134409
"GO:0051674","localization of cell","BP",1254,391,4.77448294599552e-08,0.000125374764134409
"GO:0040011","locomotion","BP",1431,444,5.27568123761456e-08,0.000125374764134409
"GO:0022610","biological adhesion","BP",1610,482,5.40685304516367e-08,0.000125374764134409
"GO:0048522","positive regulation of cellular process","BP",4324,1099,5.97876796062992e-08,0.000125374764134409
