sample_id	1	2	3
GSM2861662	-606.3087768554688	378.62542724609375	-177.6057586669922
GSM2861663	161.54632568359375	-18.507434844970703	-168.5428009033203
GSM2861664	247.7415771484375	229.52389526367188	-251.18211364746094
GSM2861665	515.4342041015625	30.047100067138672	434.8332214355469
GSM2861666	-491.5942687988281	283.5052795410156	54.702980041503906
GSM2861667	-159.89328002929688	36.575260162353516	1081.9332275390625
GSM2861668	-303.7667541503906	-204.65736389160156	-316.9025573730469
GSM2861669	67.57353973388672	-574.1292724609375	50.54607391357422
GSM2861670	100.30093383789062	-1.3297895193099976	306.2819519042969
GSM2861671	584.162841796875	-350.8633728027344	-135.12652587890625
GSM2861672	-19.20012664794922	-40.67893600463867	-1.7597285509109497
GSM2861673	141.58416748046875	113.05691528320312	77.96442413330078
GSM2861674	9.393670082092285	-222.86093139648438	175.63780212402344
GSM2861675	-7.665302276611328	213.90005493164062	-127.76165008544922
GSM2861676	184.7422332763672	5.369237899780273	-1620.7293701171875
GSM2861677	-71.54991149902344	100.52099609375	193.8251953125
