"","Term","Ont","N","DE","P.DE","FDR"
"GO:1902463","protein localization to cell leading edge","BP",2,2,9.31705202488014e-05,1
"GO:0035767","endothelial cell chemotaxis","BP",23,4,0.000105499718480424,1
"GO:0045053","protein retention in Golgi apparatus","BP",5,2,0.000594271124529816,1
"GO:0004439","phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity","MF",7,2,0.00111503528677392,1
"GO:0004003","ATP-dependent DNA helicase activity","MF",34,3,0.00118666521981225,1
"GO:0005093","Rab GDP-dissociation inhibitor activity","MF",1,1,0.00126870308892197,1
"GO:0010631","epithelial cell migration","BP",215,8,0.00128808347676108,1
"GO:0090132","epithelium migration","BP",217,8,0.00139944694123869,1
"GO:0031967","organelle envelope","CC",1036,15,0.00149680010573356,1
"GO:0031975","envelope","CC",1040,15,0.00155721621306267,1
"GO:0019899","enzyme binding","MF",1666,25,0.00157381620692075,1
"GO:0090130","tissue migration","BP",223,8,0.00171981174129769,1
"GO:1900017","positive regulation of cytokine production involved in inflammatory response","BP",9,2,0.00238142881837654,1
"GO:0003678","DNA helicase activity","MF",48,3,0.00266723219969966,1
"GO:0006954","inflammatory response","BP",618,12,0.00282603940420079,1
"GO:0000066","mitochondrial ornithine transport","BP",1,1,0.00305234032062989,1
"GO:0015822","ornithine transport","BP",1,1,0.00305234032062989,1
"GO:1902003","regulation of beta-amyloid formation","BP",10,2,0.00350715412494163,1
"GO:0005740","mitochondrial envelope","CC",659,10,0.0035194436416186,1
"GO:0071941","nitrogen cycle metabolic process","BP",15,2,0.00364073448864505,1
"GO:0044281","small molecule metabolic process","BP",1803,23,0.00389237055029319,1
"GO:0034595","phosphatidylinositol phosphate 5-phosphatase activity","MF",12,2,0.00392375727198142,1
"GO:0034205","beta-amyloid formation","BP",11,2,0.00403812414564451,1
"GO:0043542","endothelial cell migration","BP",146,6,0.00412332555629982,1
"GO:1902991","regulation of amyloid precursor protein catabolic process","BP",12,2,0.00426649996003281,1
"GO:0002532","production of molecular mediator involved in inflammatory response","BP",40,3,0.00429922445633976,1
"GO:0003878","ATP citrate synthase activity","MF",1,1,0.00467493447679717,1
"GO:0009346","citrate lyase complex","CC",1,1,0.00467493447679717,1
"GO:0019290","siderophore biosynthetic process","BP",1,1,0.00483231110323355,1
"GO:0009237","siderophore metabolic process","BP",1,1,0.00483231110323355,1
