"","Term","Ont","N","DE","P.DE","FDR"
"GO:0045595","regulation of cell differentiation","BP",1409,80,1.45205719457838e-07,0.00304496393703086
"GO:0048870","cell motility","BP",1254,70,5.86550043514654e-07,0.00409998480416743
"GO:0051674","localization of cell","BP",1254,70,5.86550043514654e-07,0.00409998480416743
"GO:0001501","skeletal system development","BP",467,39,1.61311964075233e-06,0.00845677971664408
"GO:0016477","cell migration","BP",1142,64,5.27847872745217e-06,0.016994841968928
"GO:0048513","animal organ development","BP",2883,122,6.16927983308671e-06,0.016994841968928
"GO:0007275","multicellular organism development","BP",4477,173,7.03420096915905e-06,0.016994841968928
"GO:0048731","system development","BP",3946,159,7.32090893474935e-06,0.016994841968928
"GO:0051094","positive regulation of developmental process","BP",1098,62,7.81444263176012e-06,0.016994841968928
"GO:0050793","regulation of developmental process","BP",2110,98,8.10435954646066e-06,0.016994841968928
"GO:0044707","single-multicellular organism process","BP",5474,198,8.94676918211983e-06,0.0170557954317321
"GO:0048856","anatomical structure development","BP",5015,185,1.02864059726337e-05,0.0179754944371774
"GO:0009888","tissue development","BP",1636,80,1.24835109127136e-05,0.0201368633722772
"GO:0006928","movement of cell or subcellular component","BP",1672,82,1.80985011478057e-05,0.0259918522878508
"GO:0005615","extracellular space","CC",1259,53,1.85921690184913e-05,0.0259918522878508
"GO:0048869","cellular developmental process","BP",3645,143,2.15615106225257e-05,0.0268144803646318
"GO:0030154","cell differentiation","BP",3331,136,2.1738014601752e-05,0.0268144803646318
"GO:0040011","locomotion","BP",1431,73,2.98772462959973e-05,0.0348069919348369
"GO:0033627","cell adhesion mediated by integrin","BP",54,9,3.36811656272727e-05,0.0354117336965884
"GO:0035295","tube development","BP",554,39,3.37737088188731e-05,0.0354117336965884
"GO:0061448","connective tissue development","BP",224,22,3.90751456120692e-05,0.0390193239754805
"GO:0030198","extracellular matrix organization","BP",315,26,4.79609968192494e-05,0.0442498756255933
"GO:0030199","collagen fibril organization","BP",36,8,4.85334830419002e-05,0.0442498756255933
"GO:0043062","extracellular structure organization","BP",316,26,5.24394566375957e-05,0.0456993552652455
"GO:0005578","proteinaceous extracellular matrix","CC",340,28,5.44818255427342e-05,0.0456993552652455
"GO:0050654","chondroitin sulfate proteoglycan metabolic process","BP",40,8,7.00752251342024e-05,0.0565183642717009
"GO:0031012","extracellular matrix","CC",495,33,7.29561408033721e-05,0.056662602690619
"GO:0045597","positive regulation of cell differentiation","BP",780,46,7.87959239712474e-05,0.0590125187741807
"GO:0001932","regulation of protein phosphorylation","BP",1197,55,8.37729412213299e-05,0.0605765026693547
"GO:2000026","regulation of multicellular organismal development","BP",1589,77,9.48252643949607e-05,0.0662828598120775
